ID,Title,Desc,Options,Reaction,Action Taken
1,Cat stuck up a tree,There is a cat stck up a tree,Take a squad with a fire engine all dressed up with press,You dressed up for nothing. You get less grants,+10GG
,,,,Luckily you dressed up. the press was there. They liked your style!,+20GG
,,,Just send a normal squad,You saved the cat from the tree,+15GG
,,,,There was press there. If you sent a dressed up engine you would have gotten more grants,+10GG
,,,Leave the call. The cat can get down by itself,The cat falls off the tree and hurts itself,+0GG
,,,,The cat gets down from tree by itself,+0GG
2,Kitchen fire,A small kitchen fire in a restaurant with the worst food in town,Let it burn down,Why would you let it burn down? your job is to put fires out,+0GG
,,,,The whole town cheered and each gave you some change!,+5GG
,,,Save the kitchen,The smell of food threw your team off and they couldn't put the fire out,+0GG
,,,,Because of all the bad food the kitchen went up in flames immedatly and you couldn't save it,+0GG
,,,Save the restaurant,You managed to save the restaurant,+10GG
,,,,The owner was not happy becuase you didn't pay for your visit to his shop. You needed to pay him some some of your wages,+5GG
,,,,The owner was not happy becuase you didn't pay for your visit to his shop. You needed to pay him some some of your wages,+5GG
